Khulna,District,Facility Name,Email,Reporting Date,Suspected cases (24h),Confirmed cases (24h),Suspected deaths (24h),Confirmed deaths (24h),Admitted (24h),Discharged (24h),Serum samples sent (24h)
Chattogram,Bagerhat,Bagerhat Civil Surgeon Office,bagerhat@cs.dghs.gov.bd,4/21/2026,3,0,0,0,3,3,0
Barisal,Bandarban,Bandarban Civil Surgeon Office,bandarban@cs.dghs.gov.bd,4/21/2026,2,0,0,0,2,1,0
Barisal,Barguna,Barguna Civil Surgeon Office,barguna@cs.dghs.gov.bd,4/21/2026,13,0,0,0,4,5,0
Barisal,Barisal,Barisal Civil Surgeon Office,barisal@cs.dghs.gov.bd,4/21/2026,36,0,1,0,38,54,0
Rajshahi,Bhola,Bhola Civil Surgeon Office,bhola@cs.dghs.gov.bd,4/21/2026,9,0,0,0,9,15,0
Chattogram,Bogura,Bogura Civil Surgeon Office,bogura@cs.dghs.gov.bd,4/21/2026,0,0,0,0,12,3,0
Chattogram,Brahmanbaria,Brahmanbaria Civil Surgeon Office,brahmanbaria@cs.dghs.gov.bd,4/21/2026,4,0,0,0,4,4,0
Rajshahi,Chandpur,Chandpur Civil Surgeon Office,chandpur@cs.dghs.gov.bd,4/21/2026,13,0,0,0,13,12,0
Chattogram,Chapainawabganj,Chapainawabganj Civil Surgeon Office,chapainawabganj@cs.dghs.gov.bd,4/21/2026,27,0,0,0,27,43,0
Khulna,Chattogram,Chattogram Civil Surgeon Office,chittagong@cs.dghs.gov.bd,4/21/2026,21,0,0,0,21,7,0
Chattogram,Chuadanga,Chuadanga Civil Surgeon Office,chuadanga@cs.dghs.gov.bd,4/21/2026,1,0,0,0,1,0,0
Chattogram,Cox's Bazar,Cox's Bazar Civil Surgeon Office,coxsbazar@cs.dghs.gov.bd,4/21/2026,53,0,0,0,53,38,0
Dhaka,Cumilla,Cumilla Civil Surgeon Office,cumilla@cs.dghs.gov.bd,4/21/2026,25,0,0,0,23,23,0
Dhaka,Dhaka,"icddr,b Hospital, Mohakhali, Dhaka",mmobegum@icddrb.org,4/21/2026,1,19,0,0,0,0,0
Dhaka,Dhaka,Insaf Barakh Kidney & General Hospital,insafbarakah@gmail.com,4/21/2026,1,19,0,0,0,0,0
Dhaka,Dhaka,Bangladesh medical University,bmu@example.com,4/21/2026,1,19,0,0,0,0,0
Dhaka,Dhaka,Continental Hospital,continental@example.com,4/21/2026,1,19,0,0,0,0,0
Dhaka,Dhaka,"Infectious Diseases Hospital, Mohakhali",kidh@hospi.dghs.gov.bd,4/21/2026,1,19,0,0,0,0,0
Dhaka,Dhaka,Kurmitola General Hospital,curmitolahospital@hospi.dghs.gov.bd,4/21/2026,1,19,0,0,0,0,0
Dhaka,Dhaka,Kuwait Bangladesh Friendship Govt. Hospital,kbfgh@hospi.dghs.gov.bd,4/21/2026,1,19,0,0,0,0,0
Dhaka,Dhaka,Mugda Medical College Hospital,first@hospi.dghs.gov.bd,4/21/2026,1,19,0,0,0,0,0
Dhaka,Dhaka,National Institute of Traumatology and Orthopaedic Rehabilitation (NITOR),nitor@hospi.dghs.gov.bd,4/21/2026,0,0,0,0,0,0,0
Dhaka,Dhaka,Dhaka Community Medical college Hospital,ashrafulislamirfan@gmail.com,4/21/2026,1,19,0,0,0,0,0
Dhaka,Dhaka,Bangladesh Shishu (Children) Hospital & Institute,epiddsh@gmail.com,4/21/2026,1,19,0,0,0,0,0
Dhaka,Dhaka,Bangladesh Medical College Hospital,bmchdhaka@gmail.com,4/21/2026,1,19,0,0,0,0,0
Dhaka,Dhaka,Holy Family Red Crescent M.C Hospital,hfrcmchdhaka@yahoo.com,4/21/2026,1,19,0,0,0,0,0
Dhaka,Dhaka,BIRDEM General Hospital,birdemmateon2021@gmail.com,4/21/2026,1,19,0,0,0,0,0
Dhaka,Dhaka,BIRDEM Women & Children Hospital,birdem-2@dab-bd.org,4/21/2026,1,19,0,0,0,0,0
Dhaka,Dhaka,"Ibn Sina Medical College Hospital, Kallyanpur, Mirpur, Dhaka",ismchoffice@gmail.com,4/21/2026,1,19,0,0,0,0,0
Dhaka,Dhaka,"Ibn Sina Hospital, Dhanmondi, Dhaka-1209",ibnsinahospitaldhanmondidengue@gmail.com,4/21/2026,1,19,0,0,0,0,0
Dhaka,Dhaka,Square Hospital Ltd.,muktadir@squarehospital.com,4/21/2026,1,19,0,0,0,0,0
Dhaka,Dhaka,Comfort Nursing Home (pvt) Ltd.,rahatraihan840@gmail.com,4/21/2026,0,0,0,0,0,0,0
Dhaka,Dhaka,Samorita Hospital Limited,samoritahrd.it@gmail.com,4/21/2026,1,19,0,0,0,0,0
Dhaka,Dhaka,Delta Hospital Ltd.,amiruldelta@gmail.com,4/21/2026,1,19,0,0,0,0,0
Dhaka,Dhaka,Labaid Hospital,shankarpanday144@gmail.com,4/21/2026,1,19,0,0,0,0,0
Dhaka,Dhaka,"Ad-din Women's Medical College Hospital, Moghbazar, Dhaka-1217",mdshihab886@gmail.com,4/21/2026,1,19,0,0,0,0,0
