Division,District,Facility Name,Email,Reporting Date,Suspected cases (24h),Confirmed cases (24h),Suspected deaths (24h),Confirmed deaths (24h),Admitted (24h),Discharged (24h),Serum samples sent (24h),,,,
Barisal,Barguna,Barguna Civil Surgeon Office,barguna@cs.dghs.gov.bd,4/21/2026,13,0,0,0,4,5,0,,,,
Barisal,Barisal,Barisal Civil Surgeon Office,barisal@cs.dghs.gov.bd,4/21/2026,36,0,1,0,38,54,0,,,,
Barisal,Bhola,Bhola Civil Surgeon Office,bhola@cs.dghs.gov.bd,4/21/2026,9,0,0,0,9,15,0,,,,
Barisal,Jhalakathi,Jhalakathi Civil Surgeon Office,jhalakathi@cs.dghs.gov.bd,4/21/2026,5,0,0,0,2,2,0,,,,
Barisal,Patuakhali,Patuakhali Civil Surgeon Office,patuakhali@cs.dghs.gov.bd,4/21/2026,31,0,0,0,31,15,0,,,,
Barisal,Pirojpur,Pirojpur Civil Surgeon Office,pirojpur@cs.dghs.gov.bd,4/21/2026,6,0,0,0,5,1,0,,,,
Barisal,Barguna,Barguna Civil Surgeon Office,barguna@cs.dghs.gov.bd,4/22/2026,13,0,0,0,4,4,0,,,,
Barisal,Barisal,Barisal Civil Surgeon Office,barisal@cs.dghs.gov.bd,4/22/2026,55,0,0,0,55,32,0,,,,
Barisal,Barguna,Barguna Civil Surgeon Office,barguna@cs.dghs.gov.bd,4/23/2026,5,0,0,0,5,1,0,,,,
Barisal,Barisal,Barisal Civil Surgeon Office,barisal@cs.dghs.gov.bd,4/23/2026,34,0,0,0,34,37,0,,,,
Barisal,Bhola,Bhola Civil Surgeon Office,bhola@cs.dghs.gov.bd,4/23/2026,7,5,0,0,7,5,0,,,,
Barisal,Jhalakathi,Jhalakathi Civil Surgeon Office,jhalakathi@cs.dghs.gov.bd,4/23/2026,14,0,0,0,4,1,0,,,,
Barisal,Patuakhali,Patuakhali Civil Surgeon Office,patuakhali@cs.dghs.gov.bd,4/23/2026,0,0,0,0,26,18,0,,,,
Barisal,Pirojpur,Pirojpur Civil Surgeon Office,pirojpur@cs.dghs.gov.bd,4/23/2026,4,2,0,0,4,7,0,,,,
Barisal,Barguna,Barguna Civil Surgeon Office,barguna@cs.dghs.gov.bd,4/24/2026,14,0,0,0,6,2,0,,,,
Barisal,Barisal,Barisal Civil Surgeon Office,barisal@cs.dghs.gov.bd,4/24/2026,11,0,0,0,9,9,0,,,,
