email,reportingdate,division,district,suspected24h,confirmed24h,suspecteddeath24h,confirmeddeath24h,admitted24h,discharged24h
daud.damc4549@gmail.com,2026-04-18,Dhaka,Dhaka,0,1,0,0,10,1
monwar.110@gmail.com,2026-04-18,Dhaka,Dhaka,14,0,1,0,6,6
bgbhospital@gmail.com,2026-04-18,Dhaka,Dhaka,12,3,1,0,10,4
npshagar27@gmail.com,2026-04-18,Dhaka,Dhaka,9,7,1,0,14,2
cmhsavar@army.mil.bd,2026-04-18,Dhaka,Dhaka,0,0,0,0,0,7
geh@hospi.dghs.gov.bd,2026-04-18,Dhaka,Dhaka,18,3,0,0,4,7
dmghdscc@gmail.com,2026-04-18,Dhaka,Dhaka,5,9,1,0,2,0
dsccdmsh@gmail.com,2026-04-18,Dhaka,Dhaka,7,1,0,0,0,6
bmchdhaka@gmail.com,2026-04-18,Dhaka,Dhaka,18,2,0,0,10,9
hfrcmchdhaka@yahoo.com,2026-04-18,Dhaka,Dhaka,14,4,0,0,12,3
birdemmateon2021@gmail.com,2026-04-18,Dhaka,Dhaka,13,4,0,0,0,5
birdem-2@dab-bd.org,2026-04-18,Dhaka,Dhaka,17,5,0,0,8,9
ismchoffice@gmail.com,2026-04-18,Dhaka,Dhaka,8,8,0,0,8,7
ibnsinahospitaldhanmondidengue@gmail.com,2026-04-18,Dhaka,Dhaka,5,2,1,0,14,9
muktadir@squarehospital.com,2026-04-18,Dhaka,Dhaka,17,0,1,0,11,8
rahatraihan840@gmail.com,2026-04-18,Dhaka,Dhaka,13,8,0,0,0,3
samoritahrd.it@gmail.com,2026-04-18,Dhaka,Dhaka,12,8,1,0,2,0
amiruldelta@gmail.com,2026-04-18,Dhaka,Dhaka,0,2,1,0,12,6
shankarpanday144@gmail.com,2026-04-18,Dhaka,Dhaka,10,1,1,0,2,8
nursingserviceschl@gmail.com,2026-04-18,Dhaka,Dhaka,18,3,1,0,3,2
hicare13@gmail.com,2026-04-18,Dhaka,Dhaka,5,0,0,0,1,7
healthandhope50@gmail.com,2026-04-18,Dhaka,Dhaka,18,7,1,0,0,7
greenlifehospital@yahoo.com,2026-04-18,Dhaka,Dhaka,19,6,1,0,5,0
ibhdit@yahoo.com,2026-04-18,Dhaka,Dhaka,11,6,1,0,3,7
ibhmugda@gmail.com,2026-04-18,Dhaka,Dhaka,18,5,1,0,13,6
medical.records@uhlbd.com,2026-04-18,Dhaka,Dhaka,12,2,0,0,13,4
info@khidmahhospital.com,2026-04-18,Dhaka,Dhaka,19,9,1,0,13,1
simch.bd@gmail.com,2026-04-18,Dhaka,Dhaka,11,2,1,0,5,2
mrdept@evercarebd.com,2026-04-18,Dhaka,Dhaka,16,3,0,0,13,0
,2026-04-18,Dhaka,Dhaka,4,7,1,0,2,2
umcrc2022@gmail.com,2026-04-18,Dhaka,Dhaka,15,9,1,0,2,9
rasel.hr@brbhospital.com,2026-04-18,Dhaka,Dhaka,18,7,0,0,3,2
zahidulhaq@asgaralihospital.com,2026-04-18,Dhaka,Dhaka,14,6,1,0,8,5
bshl.dhaka@gmail.com,2026-04-18,Dhaka,Dhaka,8,6,1,0,14,7
dduamch@gmail.com,2026-04-18,Dhaka,Dhaka,15,9,1,0,13,1
salauddinsphospital@gmail.com,2026-04-18,Dhaka,Dhaka,9,4,0,0,4,1
pmchcoordinator@yahoo.com,2026-04-18,Dhaka,Dhaka,2,6,1,0,2,8
shuvo.uch@gmail.com,2026-04-18,Dhaka,Dhaka,13,5,0,0,1,7
akmmchcovid19@gmail.com,2026-04-18,Dhaka,Dhaka,18,1,1,0,7,8
nurarubel@outlook.com,2026-04-18,Dhaka,Dhaka,18,7,1,0,13,2
mhossain3306@gmail.com,2026-04-18,Dhaka,Dhaka,12,4,1,0,13,3
admin@dcimch.com,2026-04-18,Dhaka,Dhaka,3,6,1,0,2,1
sabik.aichi@gmail.com,2026-04-18,Dhaka,Dhaka,8,1,0,0,13,3
monowarahospital@gmail.com,2026-04-18,Dhaka,Dhaka,14,3,1,0,3,8
info@sikderhospital.net,2026-04-18,Dhaka,Dhaka,5,8,1,0,6,6
info@emch.com.bd,2026-04-18,Dhaka,Dhaka,15,1,1,0,3,5
amzhospitalltd.mis10699@gmail.com,2026-04-18,Dhaka,Dhaka,13,4,1,0,9,1
lifeandcarehospital@gmail.com,2026-04-18,Dhaka,Dhaka,9,6,1,0,2,4
jashimuddin4361@gmail.com,2026-04-18,Dhaka,Dhaka,7,7,0,0,0,8
jbfh24@yahoo.com,2026-04-18,Dhaka,Dhaka,17,2,0,0,1,8
barikkhan1962@gmail.com,2026-04-18,Dhaka,Dhaka,16,7,1,0,1,9
almanarhospital1996@gmail.com,2026-04-18,Dhaka,Dhaka,11,4,1,0,10,9
dhhhospital@gmail.com,2026-04-18,Dhaka,Dhaka,17,9,1,0,6,4
mmcl_nc@yahoo.com,2026-04-18,Dhaka,Dhaka,5,9,1,0,11,7
mdshihab886@gmail.com,2026-04-18,Dhaka,Dhaka,7,9,0,0,12,2
mhasemanto@gmail.com,2026-04-18,Dhaka,Dhaka,14,3,0,0,9,2
ashrafulislamirfan@gmail.com,2026-04-18,Dhaka,Dhaka,12,9,1,0,0,2
drjihadortho@gmail.com,2026-04-18,Dhaka,Dhaka,18,8,1,0,8,1
abrhhospital8@gmail.com,2026-04-18,Dhaka,Dhaka,1,6,1,0,3,7
aalokbd195@gmail.com,2026-04-18,Dhaka,Dhaka,7,1,1,0,1,6
cityhosp.bd@gmail.com,2026-04-18,Dhaka,Dhaka,10,3,0,0,11,6
crescentgastroliver2010@gmail.com,2026-04-18,Dhaka,Dhaka,5,7,0,0,8,5
ibhmirpur@gmail.com,2026-04-18,Dhaka,Dhaka,18,7,1,0,14,4
marksgroupit@gmail.com,2026-04-18,Dhaka,Dhaka,8,8,1,0,0,1
infomshl99@gmail.com,2026-04-18,Dhaka,Dhaka,1,5,0,0,11,2
khairuldgkh2022@gmail.com,2026-04-18,Dhaka,Dhaka,16,4,1,0,5,3
pghl1999@gmail.com,2026-04-18,Dhaka,Dhaka,8,4,1,0,5,3
mmobegum@icddrb.org,2026-04-18,Dhaka,Dhaka,5,7,1,0,6,7
insafbarakah@gmail.com,2026-04-18,Dhaka,Dhaka,0,0,1,0,1,3
barisal@cs.dghs.gov.bd,2026-04-18,Barisal,Barisal,8,4,1,0,4,0
barguna@cs.dghs.gov.bd,2026-04-18,Barisal,Barguna,11,6,0,0,8,4
bhola@cs.dghs.gov.bd,2026-04-18,Barisal,Bhola,11,8,1,0,3,5
jhalokati@cs.dghs.gov.bd,2026-04-18,Barisal,Jhalokati,17,3,0,0,7,4
patuakhali@cs.dghs.gov.bd,2026-04-18,Barisal,Patuakhali,5,4,1,0,0,6
pirojpur@cs.dghs.gov.bd,2026-04-18,Barisal,Pirojpur,4,5,1,0,9,6
bandarban@cs.dghs.gov.bd,2026-04-18,Chattogram,Bandarban,5,6,0,0,10,8
brahmanbaria@cs.dghs.gov.bd,2026-04-18,Chattogram,Brahmanbaria,9,5,1,0,2,0
chandpur@cs.dghs.gov.bd,2026-04-18,Chattogram,Chandpur,3,6,0,0,9,0
chittagong@cs.dghs.gov.bd,2026-04-18,Chattogram,Chattogram,15,0,1,0,2,5
cumilla@cs.dghs.gov.bd,2026-04-18,Chattogram,Cumilla,14,4,0,0,0,0
feni@cs.dghs.gov.bd,2026-04-18,Chattogram,Feni,17,5,1,0,13,6
khagrachhari@cs.dghs.gov.bd,2026-04-18,Chattogram,Khagrachhari,10,2,1,0,10,5
lakshmipur@cs.dghs.gov.bd,2026-04-18,Chattogram,Lakshmipur,13,2,0,0,14,2
noakhali@cs.dghs.gov.bd,2026-04-18,Chattogram,Noakhali,12,4,0,0,9,9
rangamati@cs.dghs.gov.bd,2026-04-18,Chattogram,Rangamati,11,9,1,0,14,9
dhaka@cs.dghs.gov.bd,2026-04-18,Dhaka,Dhaka,1,6,0,0,2,1
faridpur@cs.dghs.gov.bd,2026-04-18,Dhaka,Faridpur,16,3,0,0,6,8
gazipur@cs.dghs.gov.bd,2026-04-18,Dhaka,Gazipur,10,1,0,0,1,3
gopalganj@cs.dghs.gov.bd,2026-04-18,Dhaka,Gopalganj,17,3,0,0,0,1
kishoreganj@cs.dghs.gov.bd,2026-04-18,Dhaka,Kishoreganj,9,0,0,0,9,7
madaripur@cs.dghs.gov.bd,2026-04-18,Dhaka,Madaripur,6,2,0,0,6,2
manikganj@cs.dghs.gov.bd,2026-04-18,Dhaka,Manikganj,14,8,1,0,6,6
munshiganj@cs.dghs.gov.bd,2026-04-18,Dhaka,Munshiganj,8,4,0,0,14,3
narayanganj@cs.dghs.gov.bd,2026-04-18,Dhaka,Narayanganj,19,8,1,0,7,4
narsingdi@cs.dghs.gov.bd,2026-04-18,Dhaka,Narsingdi,11,9,1,0,3,8
rajbari@cs.dghs.gov.bd,2026-04-18,Dhaka,Rajbari,18,6,1,0,5,5
shariatpur@cs.dghs.gov.bd,2026-04-18,Dhaka,Shariatpur,17,4,1,0,5,7
tangail@cs.dghs.gov.bd,2026-04-18,Dhaka,Tangail,12,8,1,0,4,9
bagerhat@cs.dghs.gov.bd,2026-04-18,Khulna,Bagerhat,18,7,1,0,5,4
chuadanga@cs.dghs.gov.bd,2026-04-18,Khulna,Chuadanga,7,8,1,0,3,5
jashore@cs.dghs.gov.bd,2026-04-18,Khulna,Jashore,11,5,0,0,9,9
jhenaidah@cs.dghs.gov.bd,2026-04-18,Khulna,Jhenaidah,4,6,1,0,5,5
khulna@cs.dghs.gov.bd,2026-04-18,Khulna,Khulna,1,8,0,0,4,1
kushtia@cs.dghs.gov.bd,2026-04-18,Khulna,Kushtia,2,0,0,0,11,8
magura@cs.dghs.gov.bd,2026-04-18,Khulna,Magura,10,5,1,0,11,2
meherpur@cs.dghs.gov.bd,2026-04-18,Khulna,Meherpur,3,5,1,0,7,4
narail@cs.dghs.gov.bd,2026-04-18,Khulna,Narail,13,6,0,0,9,4
jamalpur@cs.dghs.gov.bd,2026-04-18,Mymensingh,Jamalpur,5,2,0,0,4,2
mymensingh@cs.dghs.gov.bd,2026-04-18,Mymensingh,Mymensingh,2,9,1,0,6,2
netrokona@cs.dghs.gov.bd,2026-04-18,Mymensingh,Netrokona,17,0,0,0,5,9
sherpur@cs.dghs.gov.bd,2026-04-18,Mymensingh,Sherpur,10,7,1,0,13,1
bogura@cs.dghs.gov.bd,2026-04-18,Rajshahi,Bogura,14,8,0,0,4,5
joypurhat@cs.dghs.gov.bd,2026-04-18,Rajshahi,Joypurhat,9,6,0,0,3,4
naogaon@cs.dghs.gov.bd,2026-04-18,Rajshahi,Naogaon,18,5,0,0,6,9
natore@cs.dghs.gov.bd,2026-04-18,Rajshahi,Natore,11,0,0,0,1,1
chapainawabganj@cs.dghs.gov.bd,2026-04-18,Rajshahi,Chapainawabganj,17,9,1,0,1,8
pabna@cs.dghs.gov.bd,2026-04-18,Rajshahi,Pabna,7,2,1,0,5,4
rajshahi@cs.dghs.gov.bd,2026-04-18,Rajshahi,Rajshahi,15,6,1,0,1,4
