Facility Name,Division,District,Reporting Date,Status,Verified,Suspected cases,Confirmed cases,Suspected deaths,Confirmed deaths,Admitted,Discharged,Serum samples sent
Barguna Civil Surgeon Office,Barisal,Barguna,4/7/2026,,,184,35,0,3,166,129,
Barisal Civil Surgeon Office,Barisal,Barisal,4/7/2026,,,91,4,0,0,26,9,
Bhola Civil Surgeon Office,Barisal,Bhola,4/7/2026,,,67,8,0,2,43,30,
Jhalakathi Civil Surgeon Office,Barisal,Jhalakathi,4/7/2026,,,37,8,2,0,13,5,
Patuakhali Civil Surgeon Office,Barisal,Patuakhali,4/7/2026,,,183,9,0,0,168,101,
Pirojpur Civil Surgeon Office,Barisal,Pirojpur,4/7/2026,,,66,4,0,0,22,14,
Bandarban Civil Surgeon Office,Chattogram,Bandarban,4/7/2026,,,13,1,0,0,13,10,
Brahmanbaria Civil Surgeon Office,Chattogram,Brahmanbaria,4/7/2026,,,66,11,0,0,66,34,
Chandpur Civil Surgeon Office,Chattogram,Chandpur,4/7/2026,,,195,33,0,3,71,51,
Chattogram Civil Surgeon Office,Chattogram,Chattogram,4/7/2026,,,251,18,1,0,180,98,
Cox's Bazar Civil Surgeon Office,Chattogram,Cox's Bazar,4/7/2026,,,220,34,5,0,210,159,
Cumilla Civil Surgeon Office,Chattogram,Cumilla,4/7/2026,,,356,27,3,0,143,84,
Feni Civil Surgeon Office,Chattogram,Feni,4/7/2026,,,78,2,0,0,33,20,
Khagrachhari Civil Surgeon Office,Chattogram,Khagrachhari,4/7/2026,,,12,0,0,0,12,11,
Lakshmipur Civil Surgeon Office,Chattogram,Lakshmipur,4/7/2026,,,76,4,1,0,71,46,
Noakhali Civil Surgeon Office,Chattogram,Noakhali,4/7/2026,,,132,6,0,0,132,83,
Rangamati Civil Surgeon Office,Chattogram,Rangamati,4/7/2026,,,16,0,0,0,5,5,
"Ad-din Medical College Hospital, Moghbazar, Dhaka-1217",Dhaka,Dhaka,4/7/2026,,,0,0,0,0,23,18,
