Facility Name,Email,Division,District,Reporting Date,Status,Verified,Suspected cases,Confirmed cases,Suspected deaths,Confirmed deaths,Admitted,Discharged,Serum samples sent,,,,,,,,,,
Ad-din Medical College Hospital,mdshihab886@gmail.com,Dhaka,Dhaka,4/7/2026,,,0,0,0,0,23,18,,,,,,,,,,,
Aichi Hospital Ltd.,sabik.aichi@gmail.com,Dhaka,Dhaka,4/7/2026,,,1,0,0,0,5,2,,,,,,,,,,,
AMZ Hospital Ltd.,amzhospitalltd.mis10699@gmail.com,Dhaka,Dhaka,4/7/2026,,,2,0,0,0,1,0,,,,,,,,,,,
Anwer Khan Modern Medical College Hospital,akmmchcovid19@gmail.com,Dhaka,Dhaka,4/7/2026,,,0,6,0,0,0,1,,,,,,,,,,,
Asgar Ali Hospital,zahidulhaq@asgaralihospital.com,Dhaka,Dhaka,4/7/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Bagerhat Civil Surgeon Office,bagerhat@cs.dghs.gov.bd,Khulna,Bagerhat,4/7/2026,,,12,0,0,0,11,1,,,,,,,,,,,
Bandarban Civil Surgeon Office,bandarban@cs.dghs.gov.bd,Chattogram,Bandarban,4/7/2026,,,13,1,0,0,13,10,,,,,,,,,,,
Bangladesh medical University,bmu@example.com,Dhaka,Dhaka,4/7/2026,,,10,10,0,0,10,3,,,,,,,,,,,
Bangladesh Shishu Hospital & Institute,epiddsh@gmail.com,Dhaka,Dhaka,4/7/2026,,,209,35,4,0,209,148,,,,,,,,,,,
Bangladesh Specialized Hospital PLC,bshl.dhaka@gmail.com,Dhaka,Dhaka,4/7/2026,,,1,1,0,0,1,0,,,,,,,,,,,
Barguna Civil Surgeon Office,barguna@cs.dghs.gov.bd,Barisal,Barguna,4/7/2026,,,184,35,0,3,166,129,,,,,,,,,,,
Barisal Civil Surgeon Office,barisal@cs.dghs.gov.bd,Barisal,Barisal,4/7/2026,,,91,4,0,0,26,9,,,,,,,,,,,
Bhola Civil Surgeon Office,bhola@cs.dghs.gov.bd,Barisal,Bhola,4/7/2026,,,67,8,0,2,43,30,,,,,,,,,,,
BIHS General Hospital,mhasemanto@gmail.com,Dhaka,Dhaka,4/7/2026,,,1,0,0,0,1,0,,,,,,,,,,,
BIRDEM Women & Children Hospital,birdem-2@dab-bd.org,Dhaka,Dhaka,4/7/2026,,,7,1,1,0,7,5,,,,,,,,,,,
Bogura Civil Surgeon Office,bogura@cs.dghs.gov.bd,Rajshahi,Bogura,4/7/2026,,,117,2,2,0,54,28,,,,,,,,,,,
Brahmanbaria Civil Surgeon Office,brahmanbaria@cs.dghs.gov.bd,Chattogram,Brahmanbaria,4/7/2026,,,66,11,0,0,66,34,,,,,,,,,,,
BRB Hospital Ltd,rasel.hr@brbhospital.com,Dhaka,Dhaka,4/7/2026,,,10,0,0,0,2,7,,,,,,,,,,,
Chandpur Civil Surgeon Office,chandpur@cs.dghs.gov.bd,Chattogram,Chandpur,4/7/2026,,,195,33,0,3,71,51,,,,,,,,,,,
Chapainawabganj Civil Surgeon Office,chapainawabganj@cs.dghs.gov.bd,Rajshahi,Chapainawabganj,4/7/2026,,,462,38,6,0,462,387,,,,,,,,,,,
Chattogram Civil Surgeon Office,chittagong@cs.dghs.gov.bd,Chattogram,Chattogram,4/7/2026,,,251,18,1,0,180,98,,,,,,,,,,,
Chuadanga Civil Surgeon Office,chuadanga@cs.dghs.gov.bd,Khulna,Chuadanga,4/7/2026,,,7,0,0,0,0,1,,,,,,,,,,,
Continental Hospital,continental@example.com,Dhaka,Dhaka,4/7/2026,,,7,0,0,0,7,4,,,,,,,,,,,
Cox's Bazar Civil Surgeon Office,coxsbazar@cs.dghs.gov.bd,Chattogram,Cox's Bazar,4/7/2026,,,220,34,5,0,210,159,,,,,,,,,,,
