Khulna,District,Facility Name,Email,Reporting Date,Suspected cases (24h),Confirmed cases (24h),Suspected deaths (24h),Confirmed deaths (24h),Admitted (24h),Discharged (24h),Serum samples sent (24h)
Chattogram,Bagerhat,Bagerhat Civil Surgeon Office,bagerhat@cs.dghs.gov.bd,4/25/2026,0,0,0,0,0,0,0
Barisal,Bandarban,Bandarban Civil Surgeon Office,bandarban@cs.dghs.gov.bd,4/25/2026,0,0,0,0,0,0,0
Barisal,Barguna,Barguna Civil Surgeon Office,barguna@cs.dghs.gov.bd,4/25/2026,0,0,0,0,0,0,0
Barisal,Barisal,Barisal Civil Surgeon Office,barisal@cs.dghs.gov.bd,4/25/2026,0,0,0,0,0,0,0
Rajshahi,Bhola,Bhola Civil Surgeon Office,bhola@cs.dghs.gov.bd,4/25/2026,0,0,0,0,0,0,0
Chattogram,Bogura,Bogura Civil Surgeon Office,bogura@cs.dghs.gov.bd,4/25/2026,0,0,0,0,0,0,0
Chattogram,Brahmanbaria,Brahmanbaria Civil Surgeon Office,brahmanbaria@cs.dghs.gov.bd,4/25/2026,0,0,0,0,0,0,0
Rajshahi,Chandpur,Chandpur Civil Surgeon Office,chandpur@cs.dghs.gov.bd,4/25/2026,0,0,0,0,0,0,0
Chattogram,Chapainawabganj,Chapainawabganj Civil Surgeon Office,chapainawabganj@cs.dghs.gov.bd,4/25/2026,0,0,0,0,0,0,0
Khulna,Chattogram,Chattogram Civil Surgeon Office,chittagong@cs.dghs.gov.bd,4/25/2026,0,0,0,0,0,0,0
Chattogram,Chuadanga,Chuadanga Civil Surgeon Office,chuadanga@cs.dghs.gov.bd,4/25/2026,0,0,0,0,0,0,0
Chattogram,Cox's Bazar,Cox's Bazar Civil Surgeon Office,coxsbazar@cs.dghs.gov.bd,4/25/2026,0,0,0,0,0,0,0
Dhaka,Cumilla,Cumilla Civil Surgeon Office,cumilla@cs.dghs.gov.bd,4/25/2026,0,0,0,0,0,0,0
Dhaka,Dhaka,"icddr,b Hospital, Mohakhali, Dhaka",mmobegum@icddrb.org,4/25/2026,0,0,0,0,0,0,0
Dhaka,Dhaka,Insaf Barakh Kidney & General Hospital,insafbarakah@gmail.com,4/25/2026,0,0,0,0,0,0,0
Dhaka,Dhaka,Bangladesh medical University,bmu@example.com,4/25/2026,0,0,0,0,0,0,0
Dhaka,Dhaka,Continental Hospital,continental@example.com,4/25/2026,0,0,0,0,0,0,0
Dhaka,Dhaka,"Infectious Diseases Hospital, Mohakhali",kidh@hospi.dghs.gov.bd,4/25/2026,0,0,0,0,0,0,0
Dhaka,Dhaka,Kurmitola General Hospital,curmitolahospital@hospi.dghs.gov.bd,4/25/2026,0,0,0,0,0,0,0
Dhaka,Dhaka,Kuwait Bangladesh Friendship Govt. Hospital,kbfgh@hospi.dghs.gov.bd,4/25/2026,0,0,0,0,0,0,0
Dhaka,Dhaka,Mugda Medical College Hospital,first@hospi.dghs.gov.bd,4/25/2026,0,0,0,0,0,0,0
Dhaka,Dhaka,National Institute of Traumatology and Orthopaedic Rehabilitation (NITOR),nitor@hospi.dghs.gov.bd,4/25/2026,0,0,0,0,0,0,0
Dhaka,Dhaka,Dhaka Community Medical college Hospital,ashrafulislamirfan@gmail.com,4/25/2026,0,0,0,0,0,0,0
Dhaka,Dhaka,Bangladesh Shishu (Children) Hospital & Institute,epiddsh@gmail.com,4/25/2026,0,0,0,0,0,0,0
Dhaka,Dhaka,Bangladesh Medical College Hospital,bmchdhaka@gmail.com,4/25/2026,0,0,0,0,0,0,0
Dhaka,Dhaka,Holy Family Red Crescent M.C Hospital,hfrcmchdhaka@yahoo.com,4/25/2026,0,0,0,0,0,0,0
Dhaka,Dhaka,BIRDEM General Hospital,birdemmateon2021@gmail.com,4/25/2026,0,0,0,0,0,0,0
Dhaka,Dhaka,BIRDEM Women & Children Hospital,birdem-2@dab-bd.org,4/25/2026,0,0,0,0,0,0,0
